Face Detection Time
"{'Video_Playback_Time': 3.1333333333333333, 'KST_Time': '2024-01-05 18:01:36.079368'}"
"{'Video_Playback_Time': 3.1666666666666665, 'KST_Time': '2024-01-05 18:01:36.110444'}"
"{'Video_Playback_Time': 3.2, 'KST_Time': '2024-01-05 18:01:36.143008'}"
"{'Video_Playback_Time': 3.2333333333333334, 'KST_Time': '2024-01-05 18:01:36.174216'}"
"{'Video_Playback_Time': 3.2666666666666666, 'KST_Time': '2024-01-05 18:01:36.204399'}"
"{'Video_Playback_Time': 3.3, 'KST_Time': '2024-01-05 18:01:36.235497'}"
"{'Video_Playback_Time': 3.3333333333333335, 'KST_Time': '2024-01-05 18:01:36.267966'}"
"{'Video_Playback_Time': 3.3666666666666667, 'KST_Time': '2024-01-05 18:01:36.316720'}"
"{'Video_Playback_Time': 3.4, 'KST_Time': '2024-01-05 18:01:36.362231'}"
"{'Video_Playback_Time': 3.433333333333333, 'KST_Time': '2024-01-05 18:01:36.408101'}"
"{'Video_Playback_Time': 3.466666666666667, 'KST_Time': '2024-01-05 18:01:36.437427'}"
"{'Video_Playback_Time': 3.5, 'KST_Time': '2024-01-05 18:01:36.485159'}"
"{'Video_Playback_Time': 3.533333333333333, 'KST_Time': '2024-01-05 18:01:36.528245'}"
"{'Video_Playback_Time': 3.5666666666666664, 'KST_Time': '2024-01-05 18:01:36.562541'}"
"{'Video_Playback_Time': 3.6, 'KST_Time': '2024-01-05 18:01:36.612696'}"
"{'Video_Playback_Time': 3.6333333333333333, 'KST_Time': '2024-01-05 18:01:36.659299'}"
"{'Video_Playback_Time': 3.6666666666666665, 'KST_Time': '2024-01-05 18:01:36.708432'}"
"{'Video_Playback_Time': 3.6999999999999997, 'KST_Time': '2024-01-05 18:01:36.753397'}"
"{'Video_Playback_Time': 3.7333333333333334, 'KST_Time': '2024-01-05 18:01:36.784013'}"
"{'Video_Playback_Time': 3.7666666666666666, 'KST_Time': '2024-01-05 18:01:36.830216'}"
"{'Video_Playback_Time': 3.8, 'KST_Time': '2024-01-05 18:01:36.873521'}"
"{'Video_Playback_Time': 3.8333333333333335, 'KST_Time': '2024-01-05 18:01:36.923756'}"
"{'Video_Playback_Time': 3.8666666666666667, 'KST_Time': '2024-01-05 18:01:36.967496'}"
"{'Video_Playback_Time': 3.9, 'KST_Time': '2024-01-05 18:01:36.996507'}"
"{'Video_Playback_Time': 3.933333333333333, 'KST_Time': '2024-01-05 18:01:37.028993'}"
"{'Video_Playback_Time': 3.966666666666667, 'KST_Time': '2024-01-05 18:01:37.061718'}"
"{'Video_Playback_Time': 4.0, 'KST_Time': '2024-01-05 18:01:37.108282'}"
"{'Video_Playback_Time': 4.033333333333333, 'KST_Time': '2024-01-05 18:01:37.156809'}"
"{'Video_Playback_Time': 4.066666666666666, 'KST_Time': '2024-01-05 18:01:37.205406'}"
"{'Video_Playback_Time': 4.1, 'KST_Time': '2024-01-05 18:01:37.253766'}"
"{'Video_Playback_Time': 4.133333333333333, 'KST_Time': '2024-01-05 18:01:37.294892'}"
"{'Video_Playback_Time': 4.166666666666667, 'KST_Time': '2024-01-05 18:01:37.348442'}"
"{'Video_Playback_Time': 4.2, 'KST_Time': '2024-01-05 18:01:37.390416'}"
"{'Video_Playback_Time': 4.233333333333333, 'KST_Time': '2024-01-05 18:01:37.438174'}"
"{'Video_Playback_Time': 4.266666666666667, 'KST_Time': '2024-01-05 18:01:37.485351'}"
"{'Video_Playback_Time': 4.3, 'KST_Time': '2024-01-05 18:01:37.529057'}"
"{'Video_Playback_Time': 4.333333333333333, 'KST_Time': '2024-01-05 18:01:37.559701'}"
"{'Video_Playback_Time': 4.366666666666666, 'KST_Time': '2024-01-05 18:01:37.589225'}"
"{'Video_Playback_Time': 4.4, 'KST_Time': '2024-01-05 18:01:37.620267'}"
"{'Video_Playback_Time': 4.433333333333334, 'KST_Time': '2024-01-05 18:01:37.651228'}"
"{'Video_Playback_Time': 4.466666666666667, 'KST_Time': '2024-01-05 18:01:37.681176'}"
"{'Video_Playback_Time': 4.5, 'KST_Time': '2024-01-05 18:01:37.710470'}"
"{'Video_Playback_Time': 4.533333333333333, 'KST_Time': '2024-01-05 18:01:37.741561'}"
"{'Video_Playback_Time': 4.566666666666666, 'KST_Time': '2024-01-05 18:01:37.775192'}"
"{'Video_Playback_Time': 4.6, 'KST_Time': '2024-01-05 18:01:37.807929'}"
"{'Video_Playback_Time': 4.633333333333333, 'KST_Time': '2024-01-05 18:01:37.837648'}"
"{'Video_Playback_Time': 4.666666666666667, 'KST_Time': '2024-01-05 18:01:37.871859'}"
"{'Video_Playback_Time': 4.7, 'KST_Time': '2024-01-05 18:01:37.923366'}"
"{'Video_Playback_Time': 4.733333333333333, 'KST_Time': '2024-01-05 18:01:37.967981'}"
"{'Video_Playback_Time': 4.766666666666667, 'KST_Time': '2024-01-05 18:01:38.012051'}"
"{'Video_Playback_Time': 4.8, 'KST_Time': '2024-01-05 18:01:38.063803'}"
"{'Video_Playback_Time': 4.833333333333333, 'KST_Time': '2024-01-05 18:01:38.103437'}"
"{'Video_Playback_Time': 4.866666666666666, 'KST_Time': '2024-01-05 18:01:38.152959'}"
"{'Video_Playback_Time': 4.9, 'KST_Time': '2024-01-05 18:01:38.194522'}"
"{'Video_Playback_Time': 4.933333333333334, 'KST_Time': '2024-01-05 18:01:38.224963'}"
"{'Video_Playback_Time': 4.966666666666667, 'KST_Time': '2024-01-05 18:01:38.256586'}"
"{'Video_Playback_Time': 5.0, 'KST_Time': '2024-01-05 18:01:38.287329'}"
"{'Video_Playback_Time': 5.033333333333333, 'KST_Time': '2024-01-05 18:01:38.319849'}"
"{'Video_Playback_Time': 5.066666666666666, 'KST_Time': '2024-01-05 18:01:38.370579'}"
"{'Video_Playback_Time': 5.1, 'KST_Time': '2024-01-05 18:01:38.421228'}"
"{'Video_Playback_Time': 5.133333333333333, 'KST_Time': '2024-01-05 18:01:38.456758'}"
"{'Video_Playback_Time': 5.166666666666667, 'KST_Time': '2024-01-05 18:01:38.490246'}"
"{'Video_Playback_Time': 5.2, 'KST_Time': '2024-01-05 18:01:38.521198'}"
"{'Video_Playback_Time': 5.233333333333333, 'KST_Time': '2024-01-05 18:01:38.551368'}"
"{'Video_Playback_Time': 5.266666666666667, 'KST_Time': '2024-01-05 18:01:38.583830'}"
"{'Video_Playback_Time': 5.3, 'KST_Time': '2024-01-05 18:01:38.615388'}"
"{'Video_Playback_Time': 5.333333333333333, 'KST_Time': '2024-01-05 18:01:38.646760'}"
"{'Video_Playback_Time': 5.366666666666666, 'KST_Time': '2024-01-05 18:01:38.702483'}"
"{'Video_Playback_Time': 5.4, 'KST_Time': '2024-01-05 18:01:38.742345'}"
"{'Video_Playback_Time': 5.433333333333334, 'KST_Time': '2024-01-05 18:01:38.789285'}"
"{'Video_Playback_Time': 5.466666666666667, 'KST_Time': '2024-01-05 18:01:38.831712'}"
"{'Video_Playback_Time': 5.5, 'KST_Time': '2024-01-05 18:01:38.862306'}"
"{'Video_Playback_Time': 5.533333333333333, 'KST_Time': '2024-01-05 18:01:38.893123'}"
"{'Video_Playback_Time': 5.566666666666666, 'KST_Time': '2024-01-05 18:01:38.922928'}"
"{'Video_Playback_Time': 5.6, 'KST_Time': '2024-01-05 18:01:38.958151'}"
"{'Video_Playback_Time': 5.633333333333333, 'KST_Time': '2024-01-05 18:01:38.990547'}"
"{'Video_Playback_Time': 5.666666666666667, 'KST_Time': '2024-01-05 18:01:39.039640'}"
"{'Video_Playback_Time': 5.7, 'KST_Time': '2024-01-05 18:01:39.084699'}"
"{'Video_Playback_Time': 5.733333333333333, 'KST_Time': '2024-01-05 18:01:39.114379'}"
"{'Video_Playback_Time': 5.766666666666667, 'KST_Time': '2024-01-05 18:01:39.147483'}"
"{'Video_Playback_Time': 5.8, 'KST_Time': '2024-01-05 18:01:39.177949'}"
"{'Video_Playback_Time': 5.833333333333333, 'KST_Time': '2024-01-05 18:01:39.229791'}"
"{'Video_Playback_Time': 5.866666666666666, 'KST_Time': '2024-01-05 18:01:39.269820'}"
"{'Video_Playback_Time': 5.9, 'KST_Time': '2024-01-05 18:01:39.302983'}"
"{'Video_Playback_Time': 5.933333333333334, 'KST_Time': '2024-01-05 18:01:39.335341'}"
"{'Video_Playback_Time': 5.966666666666667, 'KST_Time': '2024-01-05 18:01:39.366394'}"
"{'Video_Playback_Time': 6.0, 'KST_Time': '2024-01-05 18:01:39.396536'}"
"{'Video_Playback_Time': 6.033333333333333, 'KST_Time': '2024-01-05 18:01:39.427275'}"
"{'Video_Playback_Time': 6.066666666666666, 'KST_Time': '2024-01-05 18:01:39.460682'}"
"{'Video_Playback_Time': 6.1, 'KST_Time': '2024-01-05 18:01:39.507978'}"
"{'Video_Playback_Time': 6.133333333333333, 'KST_Time': '2024-01-05 18:01:39.552430'}"
"{'Video_Playback_Time': 6.166666666666667, 'KST_Time': '2024-01-05 18:01:39.582310'}"
"{'Video_Playback_Time': 6.2, 'KST_Time': '2024-01-05 18:01:39.616848'}"
"{'Video_Playback_Time': 6.233333333333333, 'KST_Time': '2024-01-05 18:01:39.668014'}"
"{'Video_Playback_Time': 6.266666666666667, 'KST_Time': '2024-01-05 18:01:39.712539'}"
"{'Video_Playback_Time': 6.3, 'KST_Time': '2024-01-05 18:01:39.758547'}"
"{'Video_Playback_Time': 6.333333333333333, 'KST_Time': '2024-01-05 18:01:39.805132'}"
"{'Video_Playback_Time': 6.366666666666666, 'KST_Time': '2024-01-05 18:01:39.846552'}"
"{'Video_Playback_Time': 6.4, 'KST_Time': '2024-01-05 18:01:39.879297'}"
